1;19:44:01.0000000
2;15:18:29.0000000
3;22:20:54.0000000
4;07:49:55.0000000
5;04:21:34.0000000
6;11:18:16.0000000
7;08:49:13.0000000
8;18:40:45.0000000
9;17:27:09.0000000
10;20:43:19.0000000
11;23:20:12.0000000
12;16:21:45.0000000
13;22:06:36.0000000
14;18:58:38.0000000
15;23:51:17.0000000
16;18:59:01.0000000
17;23:04:09.0000000
18;21:46:35.0000000
19;08:55:18.0000000
20;17:41:27.0000000
21;23:05:54.0000000
22;23:26:18.0000000
23;07:04:55.0000000
24;11:26:29.0000000
25;09:52:29.0000000
26;09:09:37.0000000
27;19:43:38.0000000
28;21:03:43.0000000
29;12:09:21.0000000
30;19:41:53.0000000
31;21:21:36.0000000
32;11:55:03.0000000
33;22:04:28.0000000
34;18:46:51.0000000
35;20:00:27.0000000
36;22:37:20.0000000
37;10:57:52.0000000
38;10:21:06.0000000
39;09:23:55.0000000
40;19:27:35.0000000
41;08:47:05.0000000
42;18:24:19.0000000
43;09:46:23.0000000
44;11:32:35.0000000
45;20:26:53.0000000
46;04:19:26.0000000
47;10:43:34.0000000
48;10:35:24.0000000
49;23:03:46.0000000
50;18:01:28.0000000
51;20:29:01.0000000
52;10:49:39.0000000
53;11:46:50.0000000
54;18:01:51.0000000
55;21:35:54.0000000
56;10:29:19.0000000
57;09:32:08.0000000
58;21:11:53.0000000
59;19:01:09.0000000
60;10:15:00.0000000
61;11:03:58.0000000
62;18:44:43.0000000
63;11:12:11.0000000
64;23:40:36.0000000
65;22:18:46.0000000
66;10:06:47.0000000
67;21:44:04.0000000
68;23:01:38.0000000
69;20:20:51.0000000
70;19:03:17.0000000
71;22:57:44.0000000
72;11:40:44.0000000
73;10:43:37.0000000
74;10:35:21.0000000
75;08:24:34.0000000
76;09:38:14.0000000
77;19:21:29.0000000
78;08:18:28.0000000
79;08:38:52.0000000
80;21:26:11.0000000
81;20:38:44.0000000
82;23:48:46.0000000
83;17:47:29.0000000
84;10:14:57.0000000
85;17:15:01.0000000
86;22:25:33.0000000
87;12:01:08.0000000
88;22:43:26.0000000
89;16:58:35.0000000
90;18:38:18.0000000
91;20:41:15.0000000
92;21:23:40.0000000
93;23:12:19.0000000
94;23:49:09.0000000
95;08:10:15.0000000
96;18:52:36.0000000
97;22:23:02.0000000
98;07:43:53.0000000
99;13:35:05.0000000
100;06:22:00.0000000
101;15:18:10.0000000
102;21:09:22.0000000
103;08:32:47.0000000
104;21:07:37.0000000
105;23:26:37.0000000
106;08:41:00.0000000
107;15:16:25.0000000
108;22:06:59.0000000
109;22:39:51.0000000
110;19:57:56.0000000
111;20:18:20.0000000
112;23:00:15.0000000
